Time,True_Angle,Measured_Angle,Control_Signal
26.072,0.7907914090555819,0.7530711948861599,-1.0
26.073,0.7922508697310161,0.6837366900236002,-1.0
26.074,0.7937001844603827,0.7296737110059985,-1.0
26.075,0.7951393542582764,0.883612602189323,-1.0
26.076,0.7965683801391903,0.7921772157194895,-1.0
26.077,0.7979872631175161,0.8701531982310217,-1.0
26.078,0.7993960042075441,0.8428133919583437,-1.0
26.079,0.8007946044234631,0.7805888879995482,-1.0
26.080000000000002,0.8021830647793604,0.7704922375130052,-1.0
26.081,0.8035613862892222,0.9148621330610031,-1.0
26.082,0.8049295699669331,0.8357071900068981,-1.0
26.083000000000002,0.8062876168262761,0.8630480550912061,-1.0
26.084,0.8076355278809333,0.7693740123527163,-1.0
26.085,0.808973304144485,0.7150518497231175,-1.0
26.086000000000002,0.8103009466304103,0.8984898750165833,-1.0
26.087,0.811618456352087,0.814148342877911,-1.0
26.088,0.8129258343227915,0.8169568097226442,-1.0
26.089000000000002,0.814223081555699,0.8017191913939526,-1.0
26.09,0.8155101990638832,0.7412847363303003,-1.0
26.091,0.8167871878603166,0.7949121809983309,-1.0
26.092000000000002,0.8180540489578703,0.8853251478806481,-1.0
26.093,0.8193107833693142,0.8381169500154843,-1.0
26.094,0.820557392107317,0.8023646714843261,-1.0
26.095,0.8217938761844461,0.8472534364286952,-1.0
26.096,0.8230202366131674,0.8156414938650522,-1.0
26.097,0.8242364744058458,0.7364962783339999,-1.0
26.098,0.825442590574745,0.7674371374141574,-1.0
26.099,0.8266385861320272,0.8591858533594782,-1.0
26.1,0.8278244620897538,0.8658378886694982,-1.0
26.101,0.8290002194598846,0.7818212419008025,-1.0
26.102,0.8301658592542783,0.7145271714468819,-1.0
26.103,0.8313213824846927,0.8559826065440808,-1.0
26.104,0.8324667901627839,0.7608125747831831,-1.0
26.105,0.8336020833001073,0.8464706605566741,-1.0
26.106,0.834727262908117,0.8894639468886518,-1.0
26.107,0.835842329998166,0.8704584365290764,-1.0
26.108,0.8369472855815059,0.9426501409054922,-1.0
26.109,0.8380421306692875,0.9245437654948716,-1.0
26.11,0.8391268662725603,0.7846060971057982,-1.0
26.111,0.8402014934022728,0.8515026996580504,-1.0
26.112000000000002,0.8412660130692723,0.826246941599388,-1.0
26.113,0.8423204262843051,0.8974656237543689,-1.0
26.114,0.8433647340580165,0.8477620454685277,-1.0
26.115000000000002,0.8443989374009504,0.8259263691097367,-1.0
26.116,0.8454230373235501,0.8171323938768629,-1.0
26.117,0.8464370348361574,0.8377641808209026,-1.0
26.118000000000002,0.8474409309490135,0.8859572392682296,-1.0
26.119,0.8484347266722584,0.8457748971658089,-1.0
26.12,0.849418423015931,0.8575314749378539,-1.0
26.121000000000002,0.8503920209899691,0.809162183731748,-1.0
26.122,0.8513555216042099,0.8785641457375002,-1.0
26.123,0.8523089258683892,0.7590963005966583,-1.0
26.124,0.8532522347921422,0.8541485928833825,-1.0
26.125,0.8541854493850027,0.8909559821479598,-1.0
26.126,0.855108570656404,0.8369440011628584,-1.0
26.127,0.8560215996156781,0.8761181183831891,-1.0
26.128,0.8569245372720563,0.7572462018616352,-1.0
26.129,0.8578173846346688,0.9223008971865381,-1.0
26.13,0.8587001427125451,0.8219815102925635,-1.0
26.131,0.8595728125146136,0.8448132120383194,-1.0
26.132,0.8604353950497019,0.8865589380619489,-1.0
26.133,0.8612878913265367,0.7959748812639215,-1.0
26.134,0.8621303023537438,0.8479257686829149,-1.0
26.135,0.8629626291398481,0.8259915773455977,-1.0
26.136,0.8637848726932739,0.8455564757964907,-1.0
26.137,0.8645970340223442,0.870005831191622,-1.0
26.138,0.8653991141352817,0.8475573884662279,-1.0
26.139,0.8661911140402079,0.9048535866697878,-1.0
26.14,0.8669730347451436,0.8793724052666849,-1.0
26.141000000000002,0.8677448772580089,0.9476120965150535,-1.0
26.142,0.8685066425866228,0.9132519316622332,-1.0
26.143,0.8692583317387039,0.8789672080587355,-1.0
26.144000000000002,0.8699999457218698,0.8311119125971191,-1.0
26.145,0.8707314855436373,0.9209957347724065,-1.0
26.146,0.8714529522114227,0.8721480169867538,-1.0
26.147000000000002,0.8721643467325413,0.9257245079760203,-1.0
26.148,0.8728656701142078,0.9348807663143494,-1.0
26.149,0.8735569233635361,0.8708638239963156,-1.0
26.150000000000002,0.8742381074875395,0.8626659770979611,-1.0
26.151,0.8749092234931305,0.9351229432543777,-1.0
26.152,0.8755702723871209,0.8491130311552152,-1.0
26.153000000000002,0.876221255176222,0.8967114900503729,-1.0
26.154,0.876862172867044,0.9018575638760947,-1.0
26.155,0.8774930264660971,0.8603653894468286,-1.0
26.156,0.8781138169797902,0.8752210332296725,-1.0
26.157,0.8787245454144319,0.9495044123950612,-1.0
26.158,0.8793252127762302,0.8561081263667939,-1.0
26.159,0.8799158200712923,0.8351134179664883,-1.0
26.16,0.8804963683056249,0.827222578014196,-1.0
26.161,0.8810668584851341,0.8369263604761865,-1.0
26.162,0.8816272916156254,0.9015275110811862,-1.0
26.163,0.8821776687028036,0.92260853387534,-1.0
26.164,0.882717990752273,0.8507229289633709,-1.0
26.165,0.8832482587695375,0.8467436134014856,-1.0
26.166,0.8837684737600002,0.9508103545974391,-1.0
26.167,0.884278636728964,0.8511035148953173,-1.0
26.168,0.8847787486816309,0.8547325031167186,-1.0
26.169,0.8852688106231025,0.8188681208826761,-1.0
26.17,0.8857488235583799,0.8654674532261913,-1.0
26.171,0.8862187884923638,0.7731862917039376,-1.0
26.172,0.8866787064298542,0.8813044619976638,-1.0
26.173000000000002,0.887128578375551,0.8117160445276126,-1.0
26.174,0.8875684053340532,0.8268834056618554,-1.0
26.175,0.8879981883098595,0.7958911940788133,-1.0
26.176000000000002,0.8884179283073683,0.9168772276812865,-1.0
26.177,0.8888276263308773,0.9253276042783408,-1.0
26.178,0.889227283384584,0.9446616118322234,-1.0
26.179000000000002,0.8896169004725852,0.9400006691697896,-1.0
26.18,0.8899964785988778,0.8107521194311723,-1.0
26.181,0.8903660187673577,0.9051268638527031,-1.0
